Serial No.,Student Name,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admitted
32,Monin Mammen ,327,103,3,4,4,8.3,1,N
33,Jasmin Mehan ,338,118,4,3,4.5,9.4,1,Y
34,Runjhun Kumer ,340,114,5,4,4,9.6,1,Y
35,Mowgli Comar ,331,112,5,4,5,9.8,1,Y
36,Manjari Narain ,320,110,5,5,5,9.2,1,N
37,Gulab Shanker ,299,106,2,4,4,8.4,0,N
38,Geetanjali Srivastava ,300,105,1,1,2,7.8,0,N
39,Basanti Rout ,304,105,1,3,1.5,7.5,0,N
40,Nancy Pillai ,307,108,2,4,3.5,7.7,0,N
41,Amrita Dhar ,308,110,3,3.5,3,8,1,N
42,Aabha Bahri ,316,105,2,2.5,2.5,8.2,1,N
43,Poonam Gopal ,313,107,2,2.5,2,8.5,1,N
44,Naseer Singhal ,332,117,4,4.5,4,9.1,0,N
45,Kushal Padmanabhan ,326,113,5,4.5,4,9.4,1,Y
46,Arun Seshadri ,322,110,5,5,4,9.1,1,N
47,Farah Dial ,329,114,5,4,5,9.3,1,N
48,Mohit Pai ,339,119,5,4.5,4,9.7,0,N
49,Aayushman Lachman ,321,110,3,3.5,5,8.85,1,N
50,Kiran Garde ,327,111,4,3,4,8.4,1,N
51,Ambika Tata ,313,98,3,2.5,4.5,8.3,1,N
52,Krishna Persaud ,312,100,2,1.5,3.5,7.9,1,N
53,Varun Sanghvi ,334,116,4,4,3,8,1,N
54,Tanay Suri ,324,112,4,4,2.5,8.1,1,N
55,Mayawati Manne ,322,110,3,3,3.5,8,0,N
56,Gajendra Sandal ,320,103,3,3,3,7.7,0,N
57,Dhiraj Dey ,316,102,3,2,3,7.4,0,N
58,Baalkrishan Narula ,298,99,2,4,2,7.6,0,N
59,Amrit Mander ,300,99,1,3,2,6.8,1,N
60,Indrani Tailor ,311,104,2,2,2,8.3,0,N
61,Abdul Babu ,309,100,2,3,3,8.1,0,N
62,Animesh Gupta ,307,101,3,4,3,8.2,0,N
63,Radhe Sachdev ,304,105,2,3,3,8.2,1,N
64,Madhavi Mahal ,315,107,2,4,3,8.5,1,N
65,Naresh Mehrotra ,325,111,3,3,3.5,8.7,0,N
66,Afreen Mani ,325,112,4,3.5,3.5,8.92,0,N
67,Wafiq Majumdar ,327,114,3,3,3,9.02,0,N
68,Padama Kashyap ,316,107,2,3.5,3.5,8.64,1,N
69,Tejaswani Chohan ,318,109,3,3.5,4,9.22,1,N
70,Sweta Sura ,328,115,4,4.5,4,9.16,1,N
71,Tushar Sachdeva ,332,118,5,5,5,9.64,1,Y
72,Astha Wason ,336,112,5,5,5,9.76,1,Y
73,Abhinav Walla ,321,111,5,5,5,9.45,1,Y
74,Ritika Bera ,314,108,4,4.5,4,9.04,1,N
75,Radhika Tailor ,314,106,3,3,5,8.9,0,N
76,Nakul Magar ,329,114,2,2,4,8.56,1,N
77,Shobha Mehra ,327,112,3,3,3,8.72,1,N
78,Surya Boase ,301,99,2,3,2,8.22,0,N
79,Sameera Wadhwa ,296,95,2,3,2,7.54,1,N
80,Lata Shetty ,294,93,1,1.5,2,7.36,0,N
81,Preet Prabhu ,312,105,3,2,3,8.02,1,N
82,Aadish Sood ,340,120,4,5,5,9.5,1,Y
83,Yadunandan Mutti ,320,110,5,5,4.5,9.22,1,Y
84,Azhar Iyengar ,322,115,5,4,4.5,9.36,1,Y
85,Mukti Mahabir ,340,115,5,4.5,4.5,9.45,1,Y
86,Sweta Chia ,319,103,4,4.5,3.5,8.66,0,N
87,Zeenat Vora ,315,106,3,4.5,3.5,8.42,0,N
88,Neerendra Mathur ,317,107,2,3.5,3,8.28,0,N
89,John Suri ,314,108,3,4.5,3.5,8.14,0,N
90,Riddhi Ramaswamy ,316,109,4,4.5,3.5,8.76,1,N
91,Raj Parikh ,318,106,2,4,4,7.92,1,N
92,Sabina Mogul ,299,97,3,5,3.5,7.66,0,N
93,Chitranjan Mody ,298,98,2,4,3,8.03,0,N
94,Sumit Maheshwari ,301,97,2,3,3,7.88,1,N
95,Chhaya Naik ,303,99,3,2,2.5,7.66,0,N
96,Arjun Nanda ,304,100,4,1.5,2.5,7.84,0,N
97,Azhar Saini ,306,100,2,3,3,8,0,N
98,Kirti Dara ,331,120,3,4,4,8.96,1,N
99,Charandeep Sridhar ,332,119,4,5,4.5,9.24,1,Y
100,Seema Kapur ,323,113,3,4,4,8.88,1,N
101,Nilam Sethi ,322,107,3,3.5,3.5,8.46,1,N
102,Kamini Sekhon ,312,105,2,2.5,3,8.12,0,N
103,Naresh Bakshi ,314,106,2,4,3.5,8.25,0,N
104,Pinky Devan ,317,104,2,4.5,4,8.47,0,N
105,Madhavi Kapur ,326,112,3,3.5,3,9.05,1,N
106,Nilam Pillai ,316,110,3,4,4.5,8.78,1,N
107,Shanti Gill ,329,111,4,4.5,4.5,9.18,1,N
108,Labeen Sodhani ,338,117,4,3.5,4.5,9.46,1,Y
109,Parminder Tak ,331,116,5,5,5,9.38,1,Y
110,Pushpa Kashyap ,304,103,5,5,4,8.64,0,N
111,Mini Krishna ,305,108,5,3,3,8.48,0,N
112,Sunita Gulati ,321,109,4,4,4,8.68,1,N
113,Supriya D’Alia ,301,107,3,3.5,3.5,8.34,1,N
114,Wahid Kamdar ,320,110,2,4,3.5,8.56,0,N
115,Vimala Sarma ,311,105,3,3.5,3,8.45,1,N
116,Jaswant Chander ,310,106,4,4.5,4.5,9.04,1,N
117,Radheshyam Bora ,299,102,3,4,3.5,8.62,0,N
118,Qadim Dhingra ,290,104,4,2,2.5,7.46,0,N
119,Aadil Dass ,296,99,2,3,3.5,7.28,0,N
120,Harbhajan Parmer ,327,104,5,3,3.5,8.84,1,N
121,Padmini Sampath ,335,117,5,5,5,9.56,1,Y
122,Balaji Radhakrishnan ,334,119,5,4.5,4.5,9.48,1,Y
123,Devika Shenoy ,310,106,4,1.5,2.5,8.36,0,N
124,Ankita Nagar ,308,108,3,3.5,3.5,8.22,0,N
125,Fatima Brar ,301,106,4,2.5,3,8.47,0,N
126,Iqbal Roy ,300,100,3,2,3,8.66,1,N
127,Anusha Gokhale ,323,113,3,4,3,9.32,1,N
128,Ananya Dubey ,319,112,3,2.5,2,8.71,1,N
129,Nirmal Joshi ,326,112,3,3.5,3,9.1,1,N
130,Megha Sachdev ,333,118,5,5,5,9.35,1,Y
131,Varun Oza ,339,114,5,4,4.5,9.76,1,Y
132,Bhaagyasree Balasubramanian ,303,105,5,5,4.5,8.65,0,N
133,Ragini Kata ,309,105,5,3.5,3.5,8.56,0,N
134,Jayshree Pai ,323,112,5,4,4.5,8.78,0,N
135,Ghalib Dixit ,333,113,5,4,4,9.28,1,N
136,Aarushi Parikh ,314,109,4,3.5,4,8.77,1,N
137,Abdul Sarkar ,312,103,3,5,4,8.45,0,N
138,Tabeed Goda ,316,100,2,1.5,3,8.16,1,N
139,Madhu Parmar ,326,116,2,4.5,3,9.08,1,N
140,Umesh Prakash ,318,109,1,3.5,3.5,9.12,0,N
141,Yadu Shah ,329,110,2,4,3,9.15,1,N
142,Neela Deshpande ,332,118,2,4.5,3.5,9.36,1,Y
143,Himanshu Puri ,331,115,5,4,3.5,9.44,1,Y
144,Roma Subramaniam ,340,120,4,4.5,4,9.92,1,Y
145,Nalini Dugar ,325,112,2,3,3.5,8.96,1,N
146,Prerna Bali ,320,113,2,2,2.5,8.64,1,N
147,Gulzar Misra ,315,105,3,2,2.5,8.48,0,N
148,Geetanjali Dora ,326,114,3,3,3,9.11,1,N
149,Manpreet Agrawal ,339,116,4,4,3.5,9.8,1,Y
150,Qabool Mahal ,311,106,2,3.5,3,8.26,1,N
151,Sameedha Dayal ,334,114,4,4,4,9.43,1,Y
152,Kabeer Nair ,332,116,5,5,5,9.28,1,Y
153,Mohanlal Bansal ,321,112,5,5,5,9.06,1,N
154,Yadu Yogi ,324,105,3,3,4,8.75,0,N
155,Priyanka Yohannan ,326,108,3,3,3.5,8.89,0,N
156,Mukti Borra ,312,109,3,3,3,8.69,0,N
157,Sharad Trivedi ,315,105,3,2,2.5,8.34,0,N
158,Mustafa Mann ,309,104,2,2,2.5,8.26,0,N
159,Harpreet Bhatt ,306,106,2,2,2.5,8.14,0,N
160,Payal Kulkarni ,297,100,1,1.5,2,7.9,0,N
161,Amolika Sachdeva ,315,103,1,1.5,2,7.86,0,N
162,Pravin Kade ,298,99,1,1.5,3,7.46,0,N
163,Charu Sharma ,318,109,3,3,3,8.5,0,N
164,Taahid Gole ,317,105,3,3.5,3,8.56,0,N
165,Qadim Malpani ,329,111,4,4.5,4,9.01,1,N
166,Seema Saini ,322,110,5,4.5,4,8.97,0,N
167,Nishtha Anand ,302,102,3,3.5,5,8.33,0,N
168,Daanish Bhat ,313,102,3,2,3,8.27,0,N
169,Shobha Bhagat ,293,97,2,2,4,7.8,1,N
170,Urmila Edwin ,311,99,2,2.5,3,7.98,0,N
171,Akanksha Aurora ,312,101,2,2.5,3.5,8.04,1,N
172,Dipti Patel ,334,117,5,4,4.5,9.07,1,N
173,Charlie Chaudhuri ,322,110,4,4,5,9.13,1,N
174,Anees Talwar ,323,113,4,4,4.5,9.23,1,N
175,Ekbal Chaudhari ,321,111,4,4,4,8.97,1,N
176,Nancy Pall ,320,111,4,4.5,3.5,8.87,1,N
177,Yasmin Naik ,329,119,4,4.5,4.5,9.16,1,Y
178,Bijoy Balakrishnan ,319,110,3,3.5,3.5,9.04,0,N
179,Mohit Kohli ,309,108,3,2.5,3,8.12,0,N
180,Mehul Sabharwal ,307,102,3,3,3,8.27,0,N
181,Prabhat Karnik ,300,104,3,3.5,3,8.16,0,N
182,Munni Madan ,305,107,2,2.5,2.5,8.42,0,N
183,Gaurav Jayaraman ,299,100,2,3,3.5,7.88,0,N
184,Bhairavi Chaudry ,314,110,3,4,4,8.8,0,N
185,Samir Ahluwalia ,316,106,2,2.5,4,8.32,0,N
186,Lakshmi Ramanathan ,327,113,4,4.5,4.5,9.11,1,N
187,Rita Chacko ,317,107,3,3.5,3,8.68,1,N
188,John Kalita ,335,118,5,4.5,3.5,9.44,1,Y
189,Daanish Date ,331,115,5,4.5,3.5,9.36,1,Y
190,Ankita Dora ,324,112,5,5,5,9.08,1,N
191,Chand Mehra ,324,111,5,4.5,4,9.16,1,Y
192,Anees Natt ,323,110,5,4,5,8.98,1,N
193,Prabha Dixit ,322,114,5,4.5,4,8.94,1,N
194,Julie Sani ,336,118,5,4.5,5,9.53,1,Y
195,Narayan Borde ,316,109,3,3.5,3,8.76,0,N
196,Jaswant Aggarwal ,307,107,2,3,3.5,8.52,1,N
197,Gowri Deol ,306,105,2,3,2.5,8.26,0,N
198,Karim Sidhu ,310,106,2,3.5,2.5,8.33,0,N
199,Mohit Khosla ,311,104,3,4.5,4.5,8.43,0,N
200,Sneha Kibe ,313,107,3,4,4.5,8.69,0,N
201,Pamela Mishra ,317,103,3,2.5,3,8.54,1,N
202,Bishnu Shenoy ,315,110,2,3.5,3,8.46,1,N
203,Uma Nawal ,340,120,5,4.5,4.5,9.91,1,Y
204,Amrit Somani ,334,120,5,4,5,9.87,1,Y
205,Basanti Kumer ,298,105,3,3.5,4,8.54,0,N
206,Qadim Mane ,295,99,2,2.5,3,7.65,0,N
207,Pooja Bhargava ,315,99,2,3.5,3,7.89,0,N
208,Charlie Lodi ,310,102,3,3.5,4,8.02,1,N
209,Amolika Rastogi ,305,106,2,3,3,8.16,0,N
210,Nirmal Chandran ,301,104,3,3.5,4,8.12,1,N
211,Kalyani Sura ,325,108,4,4.5,4,9.06,1,N
212,Manpreet Chad ,328,110,4,5,4,9.14,1,N
213,Naseer Khosla ,338,120,4,5,5,9.66,1,Y
214,Chirag Bumb ,333,119,5,5,4.5,9.78,1,Y
215,Anees Munshi ,331,117,4,4.5,5,9.42,1,Y
216,Mohanlal Sathe ,330,116,5,5,4.5,9.36,1,Y
217,Riya Chaudhuri ,322,112,4,4.5,4.5,9.26,1,Y
218,Anusha Bhardwaj ,321,109,4,4,4,9.13,1,N
219,Mukul Sathe ,324,110,4,3,3.5,8.97,1,N
220,Umar Ramesh ,312,104,3,3.5,3.5,8.42,0,N
221,Usman Kala ,313,103,3,4,4,8.75,0,N
222,Aishwarya Bhatnagar ,316,110,3,3.5,4,8.56,0,N
223,Shobha Jain ,324,113,4,4.5,4,8.79,0,N
224,Mehul Mogul ,308,109,2,3,4,8.45,0,N
225,Sahil Anne ,305,105,2,3,2,8.23,0,N
226,Kunti Ravel ,296,99,2,2.5,2.5,8.03,0,N
227,Abhishek Kanda ,306,110,2,3.5,4,8.45,0,N
228,Sheetal Mathew ,312,110,2,3.5,3,8.53,0,N
229,Urmila Nagar ,318,112,3,4,3.5,8.67,0,N
230,Chinmay Ganesan ,324,111,4,3,3,9.01,1,N
231,Tushar Rout ,313,104,3,4,4.5,8.65,0,N
232,Dhiraj Lalla ,319,106,3,3.5,2.5,8.33,1,N
233,Gulab Nagarajan ,312,107,2,2.5,3.5,8.27,0,N
234,Pushpa Shukla ,304,100,2,2.5,3.5,8.07,0,N
235,Trishana Jain ,330,113,5,5,4,9.31,1,Y
236,Sahil Dhillon ,326,111,5,4.5,4,9.23,1,N
237,Nishtha Viswanathan ,325,112,4,4,4.5,9.17,1,N
238,Neerendra Narang ,329,114,5,4.5,5,9.19,1,N
239,Shanti Dhawan ,310,104,3,2,3.5,8.37,0,N
240,Rajesh Saha ,299,100,1,1.5,2,7.89,0,N
241,Gayatri Chhabra ,296,101,1,2.5,3,7.68,0,N
242,Sneha Dada ,317,103,2,2.5,2,8.15,0,N
243,Chitra Bajwa ,324,115,3,3.5,3,8.76,1,N
244,Iqbal Iyer ,325,114,3,3.5,3,9.04,1,N
245,Farah Sawhney ,314,107,2,2.5,4,8.56,0,N
246,Preet Sha ,328,110,4,4,2.5,9.02,1,N
247,Sona Mukherjee ,316,105,3,3,3.5,8.73,0,N
248,Jagdish Malhotra ,311,104,2,2.5,3.5,8.48,0,N
249,Prabha Banik ,324,110,3,3.5,4,8.87,1,N
250,Kiran Mehan ,321,111,3,3.5,4,8.83,1,N
251,Aadish Mathai ,320,104,3,3,2.5,8.57,1,N
252,Sahil Ramaswamy ,316,99,2,2.5,3,9,0,N
253,Nagma Sinha ,318,100,2,2.5,3.5,8.54,1,N
254,Fakaruddin Lad ,335,115,4,4.5,4.5,9.68,1,Y
255,Azhar Kurian ,321,114,4,4,5,9.12,0,N
256,Feroz Taneja ,307,110,4,4,4.5,8.37,0,N
257,Shashank Som ,309,99,3,4,4,8.56,0,N
258,Rajesh Manne ,324,100,3,4,5,8.64,1,N
259,Heena Raja ,326,102,4,5,5,8.76,1,N
260,Nupoor Chakrabarti ,331,119,4,5,4.5,9.34,1,Y
261,Jagruti Dhillon ,327,108,5,5,3.5,9.13,1,N
262,Avantika Kothari ,312,104,3,3.5,4,8.09,0,N
263,Leela Sha ,308,103,2,2.5,4,8.36,1,N
264,Bhanupriya Sibal ,324,111,3,2.5,1.5,8.79,1,N
265,Ramesh Chana ,325,110,2,3,2.5,8.76,1,N
266,Abhishek Bava ,313,102,3,2.5,2.5,8.68,0,N
267,Sukriti Pall ,312,105,2,2,2.5,8.45,0,N
268,Shobha Rai ,314,107,3,3,3.5,8.17,1,N
269,Zahir Sekhon ,327,113,4,4.5,5,9.14,0,N
270,Namita Aurora ,308,108,4,4.5,5,8.34,0,N
271,Anees Malpani ,306,105,2,2.5,3,8.22,1,N
272,Binita Brahmbhatt ,299,96,2,1.5,2,7.86,0,N
273,Nilam Balay ,294,95,1,1.5,1.5,7.64,0,N
274,Aarushi Bala ,312,99,1,1,1.5,8.01,1,N
275,Rupal Choudhary ,315,100,1,2,2.5,7.95,0,N
276,Mukti Dhaliwal ,322,110,3,3.5,3,8.96,1,N
277,Aabha Ahluwalia ,329,113,5,5,4.5,9.45,1,N
278,Emran Swamy ,320,101,2,2.5,3,8.62,0,N
279,Ganesh Dutt ,308,103,2,3,3.5,8.49,0,N
280,Monin Mehan ,304,102,2,3,4,8.73,0,N
281,Basanti Saini ,311,102,3,4.5,4,8.64,1,N
282,Gulzar Tata ,317,110,3,4,4.5,9.11,1,N
283,Bhola Babu ,312,106,3,4,3.5,8.79,1,N
284,Venkat Nagar ,321,111,3,2.5,3,8.9,1,N
285,Meghana Mandal ,340,112,4,5,4.5,9.66,1,Y
286,Kim Sunder ,331,116,5,4,4,9.26,1,Y
287,Wahid Salvi ,336,118,5,4.5,4,9.19,1,Y
288,Qabeel Pant ,324,114,5,5,4.5,9.08,1,N
289,Parminder Bajwa ,314,104,4,5,5,9.02,0,N
290,Wahid Kar ,313,109,3,4,3.5,9,0,N
291,Sona Badal ,307,105,2,2.5,3,7.65,0,N
292,Falguni Dhawan ,300,102,2,1.5,2,7.87,0,N
293,Aarti Bhatnagar ,302,99,2,1,2,7.97,0,N
294,Kiran Prasad ,312,98,1,3.5,3,8.18,1,N
295,Sneha Gour ,316,101,2,2.5,2,8.32,1,N
296,Madhavi Anthony ,317,100,2,3,2.5,8.57,0,N
297,Sahil Jhaveri ,310,107,3,3.5,3.5,8.67,0,N
298,Wahid Chahal ,320,120,3,4,4.5,9.11,0,N
299,Aditi Gandhi ,330,114,3,4.5,4.5,9.24,1,Y
300,Komal Sandhu ,305,112,3,3,3.5,8.65,0,N
301,Zeenat Krishna ,309,106,2,2.5,2.5,8,0,N
302,Sara Krish ,319,108,2,2.5,3,8.76,0,N
303,Vijayent Narasimhan ,322,105,2,3,3,8.45,1,N
304,Sameera Solanki ,323,107,3,3.5,3.5,8.55,1,N
305,Munni Inani ,313,106,2,2.5,2,8.43,0,N
306,Richa Buch ,321,109,3,3.5,3.5,8.8,1,N
307,Prerna Gera ,323,110,3,4,3.5,9.1,1,N
308,Tejaswani Handa ,325,112,4,4,4,9,1,N
309,Mukti Raja ,312,108,3,3.5,3,8.53,0,N
310,David Bhatti ,308,110,4,3.5,3,8.6,0,N
311,Rashid Deshmukh ,320,104,3,3,3.5,8.74,1,N
312,Laveena Srivastava ,328,108,4,4.5,4,9.18,1,N
313,Tarun Gade ,311,107,4,4.5,4.5,9,1,N
314,Pushpa Iyer ,301,100,3,3.5,3,8.04,0,N
315,Himesh Bhandari ,305,105,2,3,4,8.13,0,N
316,Indira Doshi ,308,104,2,2.5,3,8.07,0,N
317,Teena Mandal ,298,101,2,1.5,2,7.86,0,N
318,Nishi Doshi ,300,99,1,1,2.5,8.01,0,N
319,Aarushi Sahota ,324,111,3,2.5,2,8.8,1,N
320,Isha Wali ,327,113,4,3.5,3,8.69,1,N
321,Siddharth Ganesan ,317,106,3,4,3.5,8.5,1,N
322,Bishnu Deo ,323,104,3,4,4,8.44,1,N
323,Leelawati Kalita ,314,107,2,2.5,4,8.27,0,N
324,Urvashi Sachdeva ,305,102,2,2,2.5,8.18,0,N
325,Basanti Bhalla ,315,104,3,3,2.5,8.33,0,N
326,Kamlesh Halder ,326,116,3,3.5,4,9.14,1,N
327,Animesh Gokhale ,299,100,3,2,2,8.02,0,N
328,Padmini Philip ,295,101,2,2.5,2,7.86,0,N
329,Manpreet Bandi ,324,112,4,4,3.5,8.77,1,N
330,Jack Philip ,297,96,2,2.5,1.5,7.89,0,N
331,Bhola Beharry ,327,113,3,3.5,3,8.66,1,N
332,Manjari Choudhary ,311,105,2,3,2,8.12,1,N
333,Nupur Keer ,308,106,3,3.5,2.5,8.21,1,N
334,Ibrahim Biswas ,319,108,3,3,3.5,8.54,1,N
335,Mridula Bhandari ,312,107,4,4.5,4,8.65,1,N
336,Aadish Brahmbhatt ,325,111,4,4,4.5,9.11,1,N
337,Mohit Bhardwaj ,319,110,3,3,2.5,8.79,0,N
338,Mini Gagrani ,332,118,5,5,5,9.47,1,Y
339,Fatima Nayak ,323,108,5,4,4,8.74,1,N
340,Ankita Borah ,324,107,5,3.5,4,8.66,1,N
341,Rita Jain ,312,107,3,3,3,8.46,1,N
342,Sara Bava ,326,110,3,3.5,3.5,8.76,1,N
343,Prabha Iyer ,308,106,3,3,3,8.24,0,N
344,Raju Binnani ,305,103,2,2.5,3.5,8.13,0,N
345,Samir Manne ,295,96,2,1.5,2,7.34,0,N
346,Rachel Sur ,316,98,1,1.5,2,7.43,0,N
347,Wafiq Zacharia ,304,97,2,1.5,2,7.64,0,N
348,Yadunandan Puri ,299,94,1,1,1,7.34,0,N
349,Usha Meka ,302,99,1,2,2,7.25,0,N
350,Brock Dasgupta ,313,101,3,2.5,3,8.04,0,N
351,Richa Doshi ,318,107,3,3,3.5,8.27,1,N
352,Krishna Grover ,325,110,4,3.5,4,8.67,1,N
353,Mahmood Sankar ,303,100,2,3,3.5,8.06,1,N
354,Gajendra Rama ,300,102,3,3.5,2.5,8.17,0,N
355,Nitin Suresh ,297,98,2,2.5,3,7.67,0,N
356,Padama Meda ,317,106,2,2,3.5,8.12,0,N
357,Vivek Beharry ,327,109,3,3.5,4,8.77,1,N
358,Heena Narula ,301,104,2,3.5,3.5,7.89,1,N
359,Charlie Roy ,314,105,2,2.5,2,7.64,0,N
360,Ram Gopal Shenoy ,321,107,2,2,1.5,8.44,0,N
361,Kajol Luthra ,322,110,3,4,5,8.64,1,N
362,Devika Vaidya ,334,116,4,4,3.5,9.54,1,Y
363,Isha Kar ,338,115,5,4.5,5,9.23,1,Y
364,Zara Banerjee ,306,103,2,2.5,3,8.36,0,N
365,Qabool Randhawa ,313,102,3,3.5,4,8.9,1,N
366,Kunti Sampath ,330,114,4,4.5,3,9.17,1,N
367,Ruchi Bassi ,320,104,3,3.5,4.5,8.34,1,N
368,Megha Usman ,311,98,1,1,2.5,7.46,0,N
369,Arpit Mane ,298,92,1,2,2,7.88,0,N
370,Lakshmi Ravel ,301,98,1,2,3,8.03,1,N
371,Malik Chauhan ,310,103,2,2.5,2.5,8.24,0,N
372,Aisha Zachariah ,324,110,3,3.5,3,9.22,1,N
373,Dhiraj Trivedi ,336,119,4,4.5,4,9.62,1,Y
374,Trishana Loke ,321,109,3,3,3,8.54,1,N
375,Yasmin Pandey ,315,105,2,2,2.5,7.65,0,N
376,Shobha Gupta ,304,101,2,2,2.5,7.66,0,N
377,Kanika Agarwal ,297,96,2,2.5,2,7.43,0,N
378,Abhinav Pillay ,290,100,1,1.5,2,7.56,0,N
379,Pradeep Balay ,303,98,1,2,2.5,7.65,0,N
380,Lalita Swamy ,311,99,1,2.5,3,8.43,1,N
381,Vikrant Behl ,322,104,3,3.5,4,8.84,1,N
382,Nilima Khare ,319,105,3,3,3.5,8.67,1,N
383,Sheetal Devi ,324,110,4,4.5,4,9.15,1,N
384,Owais Dyal ,300,100,3,3,3.5,8.26,0,N
385,Chameli Johal ,340,113,4,5,5,9.74,1,Y
386,Anees Sunder ,335,117,5,5,5,9.82,1,Y
387,Payal Pandya ,302,101,2,2.5,3.5,7.96,0,N
388,Tulsi Minhas ,307,105,2,2,3.5,8.1,0,N
389,Gowri Bawa ,296,97,2,1.5,2,7.8,0,N
390,Chitranjan Hari ,320,108,3,3.5,4,8.44,1,N
391,Alka Sodhi ,314,102,2,2,2.5,8.24,0,N
392,Monica Saran ,318,106,3,2,3,8.65,0,N
393,Maya Malhotra ,326,112,4,4,3.5,9.12,1,N
394,Eddie Batra ,317,104,2,3,3,8.76,0,N
395,Sheetal Natarajan ,329,111,4,4.5,4,9.23,1,N
396,Ghalib Chandran ,324,110,3,3.5,3.5,9.04,1,N
397,Isha Pant ,325,107,3,3,3.5,9.11,1,N
398,Kajal Varma ,330,116,4,5,4.5,9.45,1,Y
399,Nayan Kothari ,312,103,3,3.5,4,8.78,0,N
400,Leelawati Meda ,333,117,4,5,4,9.66,1,Y
401,Padmini Parikh ,304,100,2,3.5,3,8.22,0,N
402,Himanshu Virk ,315,105,2,3,3,8.34,0,N
403,Aditya Palan ,324,109,3,3.5,3,8.94,1,N
404,Charandeep Venkataraman ,330,116,4,4,3.5,9.23,1,Y
405,Usha Sahota ,311,101,3,2,2.5,7.64,1,N
406,Chinmay Bala ,302,99,3,2.5,3,7.45,0,N
407,Esha Devan ,322,103,4,3,2.5,8.02,1,N
408,Tejaswani Soni ,298,100,3,2.5,4,7.95,1,N
409,Niyati Sarraf ,297,101,3,2,4,7.67,1,N
410,Venkat Chatterjee ,300,98,1,2,2.5,8.02,0,N
411,Nitika Balasubramanian ,301,96,1,3,4,7.56,0,N
412,Umesh Pai ,313,94,2,2.5,1.5,8.13,0,N
413,Mukul Sharma ,314,102,4,2.5,2,7.88,1,N
414,Harbhajan Agarwal ,317,101,3,3,2,7.94,1,N
415,Vimala Lanka ,321,110,4,3.5,4,8.35,1,N
416,Jamshed Gaba ,327,106,4,4,4.5,8.75,1,N
417,Harpreet Lall ,315,104,3,4,2.5,8.1,0,N
418,Padama Batta ,316,103,3,3.5,2,7.68,0,N
419,Leela Binnani ,309,111,2,2.5,4,8.03,0,N
420,Emran Bakshi ,308,102,2,2,3.5,7.98,1,N
421,Shanti Yadav ,299,100,3,2,3,7.42,0,N
422,Bimla Dodiya ,321,112,3,3,4.5,8.95,1,N
423,Kalpana Patil ,322,112,4,3.5,2.5,9.02,1,N
424,Lakshmi Gandhi ,334,119,5,4.5,5,9.54,1,Y
425,Nupur Sanghvi ,325,114,5,4,5,9.46,1,Y
426,Nishtha Din ,323,111,5,4,5,9.86,1,Y
427,Ram Gopal Vohra ,312,106,3,3,5,8.57,0,N
428,Mehul Patla ,310,101,3,3.5,5,8.65,1,N
429,Ajinkya Khalsa ,316,103,2,2,4.5,8.74,0,N
430,Ritika Krishnan ,340,115,5,5,4.5,9.06,1,Y
431,Zaad Srinivas ,311,104,3,4,3.5,8.13,1,N
432,Hira Dhar ,320,112,2,3.5,3.5,8.78,1,N
